Date,City,Country,Cause of Death
8/3/2014,Brewarrina - New South Wales,Australia,Veh. Accid-Motorcy.
8/9/2014,Muswellbrook - New South Wales,Australia,Suicide
9/9/2014,Wamberal -  New South Wales,Australia,Suicide
9/14/2014,Paddington - New South Wales,Australia,Suicide
9/24/2014, Queensland,Australia,Suicide
10/1/2014, Ingleburn -  New South Wales,Australia,Suicide
10/19/2014,Sydney,Australia,Suicide
12/25/2014,Queensland,Australia,Drowning
12/26/2014,Darling Point,Australia,Other Accident
1/13/2015,Gosnells -  Perth,Australia,Suicide
2/27/2015,New South Wales,Australia,Suicide
3/10/2015,Silverton -  New South Wales,Australia,Veh. Accid-Motorcy.
3/13/2015,Perth -  Western Australia,Australia,Suicide
3/20/2015,Bedforddale -  Near Jarrahdale -  Western Australia,Australia,Veh. Accid-Auto
3/21/2015,Carins -  Queensland,Australia,Drowning
7/7/2015,Surry Hills -  New South Wales,Australia,Suicide
8/6/2015,Cairns,Australia,Drowning
9/5/2015,Melbourne,Australia,Suicide
9/24/2015,Melbourne,Australia,Suicide
10/2/2015,Canberra,Australia,Other Accident
1/24/2016,Queensland,Australia,Veh. Accid-Motorcy.
2/19/2016,Queensland,Australia,Suicide
3/7/2016,Queensland,Australia,Drowning
